id,name,jl_number,longitude,latitude,ac_id
25883,Hariharchak,245,87.54797590000003,23.0539583,932
25915,Suratpur,282,87.36494350000002,23.3974659,934
25926,Hatkata,295,86.82956449999998,22.7107546,926
25928,Ranibarh,297,86.7831085,22.8660646,925
25936,Kapashgediya,305,86.8214065,23.2587862,924
25940,Manushmari,309,87.3934761,23.3637323,934
25963,Dhandangra,334,87.10487020000002,23.0195276,927
26036,Majura,382,87.0149438,22.6547718,926
26091,Chaukighata,422,86.8383485,23.1646878,924
26095,Amshol,426,87.4046363,23.3445801,934
26158,Enayetchak,500,87.60320870000002,22.964563,932
26195,Barapasha,537,86.73409339999998,22.821924600000006,925
26205,Kharigerya,547,86.8847516,22.7535013,926
26260,Naldihi,602,86.9680401,23.0757418,924
26301,Jamshol,011,87.4083557,23.1854633,933
26335,Palashbani,045,87.36308199999998,23.4041275,929
26340,Bankura,050,87.07860440000002,23.2324146,928
26343,Banshol,053,87.23321980000001,23.3505837,929
26382,Tikar para,092,87.16971159999999,22.913557,927
26406,Sarengashol,116,87.0199442,22.7679744,926
26417,Murakata,127,87.16348070000002,23.1678738,930
26466,Maliyara,176,87.2269973,23.48283,929
26563,Udaypur,273,86.90981590000001,23.5452784,923
26577,Dharmapur,287,87.45172749999998,23.1430189,933
26674,Mohanchak,094,87.5581256,23.0077843,932
26676,Lachhipur,096,87.0158814,23.4086953,923
26682,Kotalpur,102,87.59394870000001,23.0127947,932
26732,Pratap pur,152,87.30285579999996,23.4707709,929
26736,Shyam sundar pur,156,87.60752939999998,23.1990163,933
26979,Ankhuar,058,87.07860440000002,23.2324146,928
26995,Pratappur,078,87.30285579999996,23.4707709,929
27016,Dharmapur,099,87.45172749999998,23.1430189,933
27081,Tikarpara,164,87.16971159999999,22.913557,927
27117,Udaypur,200,86.90981590000001,23.5452784,923
27151,Madanmohanpur,337,87.4170333,23.323959,934
27373,Padumpur,099,87.4418175,23.0654828,932
27427,Jayrambati,131,87.61493540000002,22.9252952,932
27476,Padumpur,265,87.4418175,23.0654828,932
27478,Udaypur,267,86.90981590000001,23.5452784,923
27494,Kapasberya,283,86.8214065,23.2587862,924
27595,Kamalpur,106,86.84650359999998,23.3009283,924
27618,Kanchanpur,137,87.0942627,23.3116417,928
27710,Kanchanpur,058,87.0942627,23.3116417,928
27901,Joyanpur,124,87.44801149999998,23.0551658,932
27927,Kamalpur,220,86.84650359999998,23.3009283,924
27999,Kotalpur,70,87.59394870000001,23.0127947,932
28097,Bishnupur,53,87.31652220000002,23.0678795,931
28098,Sarangapur,54,87.1871537,23.4345353,923
28479,Boga,78,86.86907990000002,23.1496813,924
28602,Pratappur,507,87.30285579999996,23.4707709,929
28731,Rautara,193,86.66362690000003,22.8264226,925
28756,Kanchanpur,218,87.0942627,23.3116417,928
28806,Enayetchak,292,87.60320870000002,22.964563,932
28872,Baliarpur,358,87.5865393,22.9799394,932
28922,Saratpur,567,87.36494350000002,23.3974659,934
28938,Dumurberia,47,87.1054941,23.4620457,923
29005,Talda,165,87.07865919999998,22.907452600000006,927
29110,Hajipur,13,87.45668169999998,23.0806023,932
29132,Nariya,40,86.81952369999998,23.091429100000006,925
29250,Kamalpur,53,86.84650359999998,23.3009283,924
29278,Routara,92,86.66362690000003,22.8264226,925
29306,Madanmohanpur,206,87.4170333,23.323959,934
29348,Mangalpur,249,87.68030279999998,23.0706329,933
29432,Kantabani,47,87.16036489999998,23.3589526,929
29523,Badhiakol,142,87.4678266,23.0197671,932
29552,Susunia,157,86.96553730000002,23.3924893,924
29606,Kamalpur,218,86.84650359999998,23.3009283,924
29701,Hajipur,55,87.45668169999998,23.0806023,932
29708,Mangalpur,62,87.68030279999998,23.0706329,933
29709,Kantabani,63,87.16036489999998,23.3589526,929
29840,Demuriya,142,87.1054941,23.4620457,923
29925,Lachhindrapur,271,87.0158814,23.4086953,923
29926,Bishnupur,272,87.31652220000002,23.0678795,931
30119,Bhagabanbati,40,87.5531823,23.1297379,933
30172,Bishnupur,93,87.31652220000002,23.0678795,931
30249,Lalitakuri,15,86.98367979999998,23.5511811,923
30665,Tarapur,156,87.10986120000003,23.5550522,923
30758,Nagri,2,86.9448841,23.0165352,925
30768,Bhairabdanga,12,87.3127954,23.3281646,929
30838,Khosalpur,12,87.5432941,23.2456428,934
30855,Pratappur,29,87.30285579999996,23.4707709,929
31073,Jaypur,30,87.44801149999998,23.0551658,932
31124,Bhatgram,81,87.12358359999998,23.173104100000003,930
31373,Kamalpur,81,86.84650359999998,23.3009283,924
31388,Palashdanga,96,87.38851509999998,23.3993469,934
31570,Garra,108,86.7893889,22.8408976,925
31690,Kanchanpur,150,87.0942627,23.3116417,928
31743,Puthia,62,87.1983631,23.144692000000006,930
31748,Gosainpur,67,87.2705376,23.3274377,929
31792,Pratappur,21,87.30285579999996,23.4707709,929
31813,Kamalpur,42,86.84650359999998,23.3009283,924
31815,Bishnupur,44,87.31652220000002,23.0678795,931
31884,Nachna,7,86.8270545,22.8446248,925
31979,Baragara,102,87.2854565,23.4258568,929
32015,Bishnupur,138,87.31652220000002,23.0678795,931
32115,kamalpur,112,86.84650359999998,23.3009283,924
32183,Bahagolpur,3,87.7098723,23.0651088,933
32194,Hajipur,14,87.45668169999998,23.0806023,932
32365,Kamalpur,15,86.84650359999998,23.3009283,924
32376,Durlavpur,26,87.12763709999999,23.473976800000006,923
32473,Kunduliya,135,87.24317409999998,23.1990354,930
32513,Dumuriya,175,86.99306120000001,23.1877835,928
32602,Katgara,68,86.9786757,22.8103583,926
32636,Kamalpur,22,86.84650359999998,23.3009283,924
32638,Sanatanpur,24,87.3984365,23.1733979,931
32653,Joypur,39,87.44801149999998,23.0551658,932
32861,Rautara,74,86.66362690000003,22.8264226,925
32889,Jairambati,102,87.61493540000002,22.9252952,932
32935,Durlavpur,93,87.12763709999999,23.473976800000006,923
33062,Bishnupur,3,87.31652220000002,23.0678795,931
33108,Khatura,58,86.8546573,22.9731219,925
33127,Bishnupur,59,87.31652220000002,23.0678795,931
33140,Satkulia,72,86.84838529999998,23.3403715,924
33155,Rautara,87,86.66362690000003,22.8264226,925
33211,Bargora,2,87.2854565,23.4258568,929
33290,Bikrampur,6,87.1497698,23.169115100000006,930
33309,Sali,25,87.4898698,23.2904217,934
33463,Bidyanandapur,131,87.42199120000002,23.148489399999995,933
33532,Kamalpur,71,86.84650359999998,23.3009283,924
33667,Bagalpur,38,87.72341850000002,23.0370252,933
33700,Udaypur,73,86.90981590000001,23.5452784,923
33755,Chhatina,98,86.9649116,23.3084589,924
33792,Dharmapur,38,87.45172749999998,23.1430189,933
33808,Rudra,2,86.73660819999998,22.9023154,925
33850,Raibandh,45,86.89101889999998,23.4690888,924
33857,Dhekia,52,87.00431640000002,23.541915,923
33893,Baraghutu,198,86.77933979999997,22.9894682,925
33911,Manara,217,86.99993959999998,23.071141,927
33969,Kanchanpur,100,87.0942627,23.3116417,928
33976,Kalapathar,107,86.8897655,22.9023968,926
34047,Deshra,2,87.62357420000002,22.9537047,932
34060,Shushuniya,15,87.006192,23.1798516,930
34082,Fulberia,37,87.2307309,23.3386414,929
34083,Shaldiha,38,86.8088531,23.1707886,924
34087,Kulgora,42,86.8447786,23.2475441,924
34115,Rangametya,70,86.8609285,23.4209136,924
34122,Madhuban,77,87.3525325,23.0878276,931
34138,Pratappur,93,87.30285579999996,23.4707709,929
34176,Pirra,15,86.8897655,22.8785907,926
34188,Pratappur,27,87.30285579999996,23.4707709,929
34220,Kalapathar,63,86.8897655,22.9023968,926
34229,Haridi,72,86.82956449999998,23.2582068,924
34240,Agaya,83,87.04368869999998,23.1954315,928
34242,Baraghutu,85,86.77933979999997,22.9894682,925
34258,Simakanali,101,86.7592355,23.179447,924
34262,Badra,105,87.054932,23.2566252,928
34282,Baliguma,11,87.0543075,23.1294341,930
34295,Kadma,23,87.04368869999998,22.7252542,926
